accessingFrom,geographyId,geographyName,lowerQuartileDownload,lowerQuartileUpload,medianDownload,medianUpload,numberOfTests,upperQuartileDownload,upperQuartileUpload
Home,01001,Autauga,2.23438,0.31348,4.97324,1.03272,78,13.43652,2.70508
Mobile,01001,Autauga,0.82227,0.27148,2.18652,0.7832,163,4.86426,1.40039
Small_Business,01001,Autauga,0.44336,0.59863,37.17871,4.04492,7,66.96387,4.06836
Business,01003,Baldwin,0.96777,0.81152,4.93506,4.9624,8,7.88996,8.145
CC_library_school,01003,Baldwin,2.20125,0.702,2.20125,0.702,1,2.20125,0.702
Home,01003,Baldwin,1.2422,0.343,2.76063,0.64941,225,5.61737,0.91309
Mobile,01003,Baldwin,0.56543,0.30957,1.45654,0.63086,1120,3.37793,1.04785
Other,01003,Baldwin,1.59414,0.285,1.59414,0.4082,5,6.06348,1.062
Small_Business,01003,Baldwin,1.12971,0.5752,2.42578,0.7015,8,3.53125,0.762
Business,01005,Barbour,4.97313,0.485,4.97313,0.485,1,4.97313,0.485
Home,01005,Barbour,3.52539,0.47168,7.14257,0.487,20,9.84407,1.83496
Mobile,01005,Barbour,0.02344,0.04395,0.12158,0.07325,20,0.62402,0.5498
Other,01005,Barbour,0.61035,0.14746,0.67285,0.375,3,0.80469,0.54297
Small_Business,01005,Barbour,2.86529,0.45215,6.31707,0.46885,4,7.5332,0.4707
Home,01007,Bibb,1.33008,0.30957,2.69141,0.528,7,16.47754,2.55469
Mobile,01007,Bibb,1.0498,0.37305,1.19336,0.63281,10,1.34863,0.71094
Business,01009,Blount,8.81543,0.827,8.81543,0.827,1,8.81543,0.827
CC_library_school,01009,Blount,1.9707,1.41895,1.9707,1.41895,1,1.9707,1.41895
Home,01009,Blount,1.09323,0.28516,2.1543,0.41895,89,3.94173,0.587
Mobile,01009,Blount,0.22363,0.08789,0.7915,0.22999,88,2.44238,0.80273
Small_Business,01009,Blount,1.47559,0.65723,2.15234,0.79297,7,21.77441,1.40625
Home,01011,Bullock,11.7998,1.03125,13.83872,1.04199,9,18.56055,1.071
Mobile,01011,Bullock,0.34668,0.30273,0.77247,0.45801,28,1.13379,0.81348
Home,01013,Butler,0.66895,0.24121,1.50098,0.25977,7,2.1699,0.47852
Mobile,01013,Butler,0.53027,0.22754,1.1294,0.32081,80,1.39844,0.74609
Small_Business,01013,Butler,2.001,0.508,3.00137,1.356,8,5.66345,2.012
Business,01015,Calhoun,0.73485,0.92676,3.06276,0.93138,2,5.39067,0.936
Home,01015,Calhoun,2.53354,0.30469,4.5204,0.543,183,7.8393,1.02051
Mobile,01015,Calhoun,0.53223,0.23047,1.34766,0.52148,607,4.77246,1.23047
Other,01015,Calhoun,1.26855,0.19531,1.26855,0.19531,1,1.26855,0.19531
Small_Business,01015,Calhoun,3.0323,0.30371,3.15821,0.311,11,3.25663,1.59668
Home,01017,Chambers,4.40329,1.30762,15.2002,1.959,79,26.75488,2.002
Mobile,01017,Chambers,1.25905,0.38379,2.33984,0.53906,33,5.73145,0.61426
Small_Business,01017,Chambers,0.08759,0.48145,4.04819,0.64423,2,8.00879,0.807
Home,01019,Cherokee,1.3916,0.46875,2.5304,0.483,19,3.5752,0.6875
Mobile,01019,Cherokee,0.26465,0.30566,0.98829,0.49219,32,1.81934,0.6709
Home,01021,Chilton,1.30078,0.28516,2.31739,0.34919,36,5.60742,0.4209
Mobile,01021,Chilton,0.28809,0.21582,0.57813,0.37256,36,1.1084,0.61621
Home,01023,Choctaw,1.1727,0.44,2.82456,0.45899,6,2.87891,0.76074
Mobile,01023,Choctaw,0.00098,0.4248,1.10742,0.67969,7,2.0293,0.88086
Home,01025,Clarke,1.12081,0.315,1.50015,0.31543,13,2.66602,0.8584
Mobile,01025,Clarke,0.44434,0.87402,1.26758,0.89795,6,2.91602,0.95996
Business,01027,Clay,1.00374,1.239,1.00374,1.239,1,1.00374,1.239
Home,01027,Clay,0.26694,0.26563,1.48926,0.37402,13,2.0401,1.682
Mobile,01027,Clay,0.41797,0.25586,0.58496,0.25781,13,1.43652,0.95801
Home,01029,Cleburne,1.47168,0.26074,2.73724,0.30127,12,5.67578,0.73926
Mobile,01029,Cleburne,0.18457,0.1582,0.55762,0.4541,25,1.0,0.75781
Small_Business,01029,Cleburne,1.44824,0.45313,1.44824,0.45313,1,1.44824,0.45313
Business,01031,Coffee,1.17578,0.36621,2.18262,2.519,3,27.58203,7.68359
Home,01031,Coffee,2.41992,0.32617,6.06446,0.364,66,12.91016,0.93164
Mobile,01031,Coffee,0.16895,0.24316,1.45215,0.39648,183,8.12305,1.27637
Business,01033,Colbert,1.33096,1.282,3.45889,2.864,12,6.61621,4.08105
Home,01033,Colbert,0.94497,0.35449,3.65637,2.23438,98,14.77734,3.43262
Mobile,01033,Colbert,0.48145,0.24023,1.0625,0.50488,251,5.28027,1.22949
Small_Business,01033,Colbert,5.3584,0.422,12.1173,2.06202,8,17.87891,2.45117
Mobile,01035,Conecuh,0.03613,0.05371,0.54004,0.31055,3,0.9375,0.53223
Home,01037,Coosa,0.66699,0.26465,1.11719,0.59034,14,20.58398,2.99023
Mobile,01037,Coosa,0.41504,0.20508,1.37988,0.3252,49,8.35254,1.01855
Home,01039,Covington,0.83102,0.23926,1.46729,0.34082,34,4.33922,0.515
Mobile,01039,Covington,0.61426,0.31641,1.35694,0.41895,82,1.77148,1.02344
Small_Business,01039,Covington,4.21401,0.47266,5.39844,1.28174,4,5.98828,1.71289
Business,01041,Crenshaw,4.53856,2.848,4.53856,2.848,1,4.53856,2.848
Home,01041,Crenshaw,0.52822,0.212,1.31405,0.43708,8,3.01172,0.482
